sampleID	syncom	plant	treatment	culture_collection	compartment
val_comp_1	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_2	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_3	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_4	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_5	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_6	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_7	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_8	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_9	mixed	col0	at0_vs_lj0	ancestral	root
val_comp_10	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_11	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_12	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_13	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_14	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_15	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_16	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_17	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_18	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_19	mixed	gifu	at0_vs_lj0	ancestral	root
val_comp_20	mixed	input	input	ancestral	input
val_comp_21	mixed	input	input	ancestral	input
val_comp_22	mixed	input	input	ancestral	input
val_comp_23	mixed	input	input	ancestral	input
val_comp_24	mixed	input	input	ancestral	input
val_comp_25	mixed	input	input	ancestral	input
val_comp_26	mixed	input	input	ancestral	input
val_comp_27	mixed	input	input	ancestral	input
val_comp_28	mixed	input	input	ancestral	input
val_comp_29	mixed	input	input	ancestral	input
val_comp_30	mixed	input	input	ancestral	input
val_comp_31	mixed	input	input	ancestral	input
val_comp_32	mixed	input	input	ancestral	input
val_comp_33	mixed	input	input	ancestral	input
val_comp_34	mixed	input	input	ancestral	input
val_comp_35	mixed	input	input	ancestral	input
val_comp_36	mixed	input	input	ancestral	input
val_comp_37	mixed	input	input	ancestral	input
val_comp_38	mixed	input	input	ancestral	input
val_comp_39	mixed	input	input	ancestral	input
val_comp_40	mixed	input	input	ancestral	input
val_comp_41	mixed	input	input	ancestral	input
val_comp_42	mixed	input	input	ancestral	input
val_comp_43	mixed	input	input	ancestral	input
val_comp_44	mixed	input	input	ancestral	input
val_comp_45	mixed	input	input	ancestral	input
val_comp_46	mixed	input	input	ancestral	input
val_comp_47	mixed	input	input	ancestral	input
val_comp_48	mixed	input	input	ancestral	input
val_comp_49	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_50	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_51	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_52	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_53	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_54	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_55	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_56	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_57	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_58	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_59	mixed	col0	at(col0)_vs_lj0	evolved	root
val_comp_60	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_61	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_62	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_63	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_64	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_65	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_66	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_67	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_68	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_69	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_70	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_71	mixed	col0	at(gifu)_vs_lj0	evolved	root
val_comp_72	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_73	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_74	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_75	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_76	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_77	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_78	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_79	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_80	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_81	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_82	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_83	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_84	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_85	mixed	col0	at0_vs_lj(col0)	evolved	root
val_comp_86	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_87	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_88	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_89	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_90	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_91	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_92	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_93	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_94	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_95	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_96	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_97	mixed	col0	at0_vs_lj(gifu)	evolved	root
val_comp_98	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_99	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_100	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_101	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_102	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_103	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_104	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_105	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_106	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_107	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_108	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_109	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_110	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_111	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_112	mixed	gifu	at(col0)_vs_lj0	evolved	root
val_comp_113	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_114	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_115	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_116	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_117	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_118	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_119	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_120	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_121	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_122	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_123	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_124	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_125	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_126	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_127	mixed	gifu	at(gifu)_vs_lj0	evolved	root
val_comp_128	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_129	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_130	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_131	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_132	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_133	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_134	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_135	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_136	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_137	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_138	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_139	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_140	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_141	mixed	gifu	at0_vs_lj(col0)	evolved	root
val_comp_142	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_143	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_144	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_145	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_146	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_147	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_148	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_149	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_150	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_151	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_152	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_153	mixed	gifu	at0_vs_lj(gifu)	evolved	root
val_comp_154	mixed	input	input	evolved	input
val_comp_155	mixed	input	input	evolved	input
val_comp_156	mixed	input	input	evolved	input
val_comp_157	mixed	input	input	evolved	input
val_comp_158	mixed	input	input	evolved	input
val_comp_159	mixed	input	input	evolved	input
val_comp_160	mixed	input	input	evolved	input
val_comp_161	mixed	input	input	evolved	input
val_comp_162	mixed	input	input	evolved	input
val_comp_163	mixed	input	input	evolved	input
val_comp_164	mixed	input	input	evolved	input
val_comp_165	mixed	input	input	evolved	input
val_comp_166	mixed	input	input	evolved	input
val_comp_167	mixed	input	input	evolved	input
val_comp_168	mixed	input	input	evolved	input
val_comp_169	mixed	input	input	evolved	input
val_comp_170	mixed	input	input	evolved	input
val_comp_171	mixed	input	input	evolved	input
val_comp_172	mixed	input	input	evolved	input
val_comp_173	mixed	input	input	evolved	input
val_comp_174	mixed	input	input	evolved	input
val_comp_175	mixed	input	input	evolved	input
val_comp_176	mixed	input	input	evolved	input
val_comp_177	mixed	input	input	evolved	input
val_comp_178	mixed	input	input	evolved	input
val_comp_179	mixed	input	input	evolved	input
val_comp_180	mixed	input	input	evolved	input
val_comp_181	mixed	input	input	evolved	input
val_comp_182	mixed	input	input	evolved	input
val_comp_183	mixed	input	input	evolved	input
val_comp_184	mixed	input	input	evolved	input
val_comp_185	mixed	input	input	evolved	input
